bath,balcony,price,total_sqft_float,bhk,price_per_sqft
2.0,1.0,70.0,1100.0,2,0.06363636363636363
3.0,2.0,150.0,1672.0,3,0.08971291866028708
3.0,3.0,149.0,1750.0,3,0.08514285714285715
3.0,2.0,150.0,1750.0,3,0.08571428571428572
2.0,2.0,40.0,1250.0,2,0.032
2.0,2.0,83.0,1200.0,2,0.06916666666666667
2.0,2.0,40.0,1170.0,2,0.03418803418803419
2.0,2.0,65.0,1425.0,3,0.0456140350877193
2.0,2.0,43.0,947.0,2,0.0454065469904963
2.0,2.0,36.0,1130.0,2,0.03185840707964602
2.0,2.0,76.0,1417.0,3,0.053634438955539876
2.0,1.0,58.0,1230.0,2,0.04715447154471545
3.0,2.0,75.0,1705.0,3,0.04398826979472141
2.0,1.0,47.0,1116.0,2,0.042114695340501794
2.0,2.0,40.0,991.0,2,0.04036326942482341
1.0,1.0,19.5,435.0,1,0.04482758620689655
1.0,1.0,27.0,550.0,1,0.04909090909090909
2.0,2.0,70.0,1450.0,3,0.04827586206896552
1.0,1.0,25.5,700.0,1,0.03642857142857143
1.0,0.0,28.0,440.0,1,0.06363636363636363
1.0,0.0,19.8,412.5,1,0.048
1.0,0.0,25.25,510.0,1,0.049509803921568625
1.0,1.0,25.25,510.0,1,0.049509803921568625
2.0,0.0,480.0,2400.0,3,0.2
3.0,2.0,410.0,3420.0,4,0.11988304093567251
3.0,2.0,85.0,1540.0,3,0.05519480519480519
5.0,1.0,250.0,1800.0,4,0.1388888888888889
1.0,0.0,45.0,600.0,1,0.075
4.0,2.0,150.0,3150.0,4,0.047619047619047616
3.0,1.5843757375501535,80.0,2300.0,3,0.034782608695652174
2.0,1.0,67.0,1250.0,2,0.0536
4.0,1.0,428.0,2850.0,4,0.15017543859649124
3.0,2.0,194.0,1630.0,3,0.11901840490797547
2.0,3.0,235.0,1875.0,3,0.12533333333333332
2.0,0.0,130.0,1200.0,3,0.10833333333333334
2.0,2.0,148.0,1235.0,2,0.11983805668016194
4.0,0.0,413.0,2750.0,4,0.1501818181818182
4.0,2.0,368.0,2450.0,4,0.15020408163265306
2.0,3.0,110.0,1415.0,2,0.07773851590106007
2.0,2.0,65.5,860.0,2,0.07616279069767441
3.0,3.0,300.0,3000.0,4,0.1
3.0,2.0,210.0,2350.0,3,0.08936170212765958
2.0,2.0,45.0,1000.0,2,0.045
5.0,3.0,500.0,3000.0,4,0.16666666666666666
3.0,1.0,167.0,1875.0,3,0.08906666666666667
4.0,1.0,210.0,2065.0,3,0.1016949152542373
3.0,2.0,225.0,2059.0,3,0.10927634774162215
2.0,1.0,100.0,1394.0,2,0.07173601147776183
2.0,2.0,93.0,1077.0,2,0.08635097493036212
2.0,0.0,180.0,1566.0,2,0.11494252873563218
2.0,2.0,50.0,840.0,1,0.05952380952380952
3.0,3.0,131.0,1590.0,3,0.08238993710691823
3.0,2.0,210.0,2180.0,3,0.0963302752293578
2.0,2.0,88.5,1180.0,2,0.075
2.0,1.5843757375501535,86.0,1200.0,2,0.07166666666666667
2.0,2.0,85.0,1394.0,2,0.06097560975609756
3.0,3.0,175.0,2077.0,3,0.08425613866153106
2.0,1.0,85.0,1205.0,2,0.07053941908713693
2.0,1.0,75.0,900.0,2,0.08333333333333333
2.0,1.0,67.0,1400.0,2,0.047857142857142855
2.0,2.0,55.0,1200.0,2,0.04583333333333333
2.0,1.0,56.0,940.0,2,0.059574468085106386
4.0,2.0,301.0,3000.0,4,0.10033333333333333
3.0,3.0,92.0,1625.0,3,0.056615384615384616
3.0,3.0,92.0,1625.0,3,0.056615384615384616
3.0,2.0,90.0,1480.0,3,0.060810810810810814
3.0,2.0,90.0,1480.0,3,0.060810810810810814
3.0,3.0,110.0,1550.0,3,0.07096774193548387
3.0,3.0,223.0,1718.0,3,0.129802095459837
2.0,1.0,97.0,1000.0,2,0.097
5.0,1.5843757375501535,972.0,5400.0,7,0.18
3.0,1.0,550.0,3000.0,3,0.18333333333333332
4.0,2.0,200.0,2800.0,5,0.07142857142857142
1.0,1.0,55.0,1000.0,2,0.055
2.0,2.0,78.0,1040.0,2,0.075
2.0,1.0,42.5,850.0,2,0.05
2.0,2.0,38.0,1070.0,2,0.03551401869158879
2.0,1.0,50.75,1450.0,3,0.035
2.0,1.0,40.25,1150.0,2,0.035
2.0,2.0,47.25,1350.0,3,0.035
2.0,2.0,47.25,1350.0,3,0.035
2.0,2.0,41.0,900.0,2,0.04555555555555556
3.0,3.0,69.0,1681.0,3,0.04104699583581202
2.0,2.0,47.25,1350.0,3,0.035
2.0,1.0,40.25,1150.0,2,0.035
4.0,2.0,220.0,1500.0,4,0.14666666666666667
3.0,2.0,230.0,1500.0,4,0.15333333333333332
4.0,1.0,325.0,2400.0,5,0.13541666666666666
2.0,1.0,80.0,1056.0,2,0.07575757575757576
2.0,3.0,90.0,1320.0,2,0.06818181818181818
2.0,3.0,95.0,1300.0,2,0.07307692307692308
3.0,2.0,140.0,1650.0,3,0.08484848484848485
2.0,2.0,140.0,1350.0,3,0.1037037037037037
3.0,3.0,240.0,2150.0,3,0.11162790697674418
3.0,3.0,170.0,1750.0,3,0.09714285714285714
3.0,1.0,270.0,2100.0,3,0.12857142857142856
2.0,2.0,79.0,1550.0,3,0.05096774193548387
4.0,3.0,345.0,4500.0,4,0.07666666666666666
3.0,2.0,240.0,2005.0,3,0.11970074812967581
2.0,0.0,190.0,1567.2,3,0.12123532414497191
2.0,2.0,150.0,1225.0,2,0.12244897959183673
4.0,1.5843757375501535,500.0,2400.0,4,0.20833333333333334
9.0,1.5843757375501535,500.0,4500.0,9,0.1111111111111111
3.0,3.0,140.0,1800.0,3,0.07777777777777778
5.0,3.0,180.0,2400.0,4,0.075
2.0,2.0,97.0,1269.0,2,0.0764381402679275
2.0,2.0,38.9,1070.0,2,0.03635514018691589
2.0,2.0,38.0,1080.0,2,0.03518518518518519
3.0,2.0,185.0,2401.0,3,0.0770512286547272
4.0,1.5843757375501535,333.0,3900.0,4,0.08538461538461538
4.0,1.0,120.0,1550.0,4,0.07741935483870968
3.0,3.0,220.0,2100.0,3,0.10476190476190476
3.0,2.0,185.0,2400.0,3,0.07708333333333334
2.0,2.0,56.0,1206.0,2,0.04643449419568822
2.0,2.0,70.0,1270.0,3,0.05511811023622047
2.0,3.0,69.0,1312.0,2,0.052591463414634144
2.0,2.0,48.0,1100.0,2,0.04363636363636364
1.0,1.0,300.0,1500.0,1,0.2
4.0,2.0,2340.0,10624.0,4,0.22025602409638553
2.0,2.0,60.0,1075.0,2,0.05581395348837209
3.0,3.0,52.5,1150.0,2,0.04565217391304348
2.0,1.0,62.8,1256.0,2,0.049999999999999996
2.0,2.0,63.0,1207.0,2,0.05219552609776305
2.0,2.0,100.0,1725.0,3,0.057971014492753624
2.0,2.0,60.0,1440.0,2,0.041666666666666664
2.0,3.0,100.0,1700.0,3,0.058823529411764705
5.0,1.5843757375501535,110.0,2500.0,5,0.044
1.0,1.0,30.0,600.0,1,0.05
2.0,2.0,65.0,1390.0,2,0.046762589928057555
2.0,1.0,62.8,1256.0,2,0.049999999999999996
2.0,0.0,48.0,1000.0,2,0.048
2.0,1.0,75.0,1350.0,3,0.05555555555555555
1.0,1.0,23.5,552.0,1,0.042572463768115944
2.0,2.0,51.0,1200.0,2,0.0425
2.0,2.0,57.0,1030.0,2,0.05533980582524272
2.0,1.0,68.0,1200.0,2,0.056666666666666664
2.0,2.0,61.8,1190.0,2,0.05193277310924369
5.0,2.0,170.0,4000.0,5,0.0425
2.0,1.0,53.0,1080.0,2,0.049074074074074076
2.0,2.0,54.0,1041.0,2,0.05187319884726225
2.0,1.0,42.0,812.0,2,0.05172413793103448
2.0,2.0,57.0,1010.0,2,0.05643564356435644
2.0,2.0,60.0,1075.0,2,0.05581395348837209
3.0,2.0,85.0,2000.0,3,0.0425
3.0,2.0,85.0,2000.0,3,0.0425
2.0,2.0,74.0,1192.0,2,0.06208053691275168
2.0,3.0,80.0,1180.0,2,0.06779661016949153
4.0,1.5843757375501535,250.0,3245.0,4,0.07704160246533127
3.0,3.0,100.0,1645.0,3,0.060790273556231005
2.0,2.0,65.0,1140.0,2,0.05701754385964912
3.0,1.5843757375501535,200.0,2040.0,3,0.09803921568627451
2.0,1.0,63.0,1213.0,2,0.05193734542456719
2.0,2.0,60.0,1216.0,2,0.049342105263157895
2.0,1.5843757375501535,80.0,1460.0,2,0.0547945205479452
3.0,3.0,200.0,2003.0,3,0.09985022466300549
3.0,3.0,131.0,1810.0,3,0.07237569060773481
2.0,2.0,135.0,1515.0,3,0.0891089108910891
2.0,3.0,75.0,1192.0,2,0.06291946308724833
2.0,1.0,88.0,1280.0,2,0.06875
2.0,1.0,110.0,1117.0,2,0.09847806624888093
3.0,2.0,400.0,3000.0,3,0.13333333333333333
3.0,1.0,528.0,3000.0,5,0.176
3.0,0.0,408.0,2400.0,3,0.17
2.0,1.0,293.0,1903.0,3,0.15396741986337362
2.0,2.0,72.0,1080.0,2,0.06666666666666667
2.0,2.0,93.0,1270.0,2,0.07322834645669292
2.0,1.0,100.0,1420.0,3,0.07042253521126761
3.0,1.0,150.0,1850.0,3,0.08108108108108109
2.0,1.0,94.0,1245.0,2,0.07550200803212852
2.0,1.0,82.0,1175.0,2,0.06978723404255319
2.0,1.0,95.0,1400.0,3,0.06785714285714285
3.0,1.0,160.0,2225.0,3,0.07191011235955057
2.0,1.0,71.0,1050.0,2,0.06761904761904762
2.0,0.0,46.0,1100.0,2,0.04181818181818182
2.0,1.0,50.49,918.0,2,0.055
2.0,1.0,100.0,1450.0,3,0.06896551724137931
2.0,1.0,49.98,1190.0,2,0.041999999999999996
2.0,2.0,96.0,1420.0,3,0.0676056338028169
